
,transaction_id,product_id,quantity,total_transaction_amount,transaction_date
0,1,55,3,6850,2024-06-17
1,2,20,10,5338,2022-03-11
2,3,18,12,472,2023-11-11
3,4,41,4,2281,2024-09-01
4,5,52,10,6667,2024-05-27
5,6,57,2,3099,2022-07-10
6,7,64,14,8222,2023-10-26
7,8,49,5,3244,2024-01-13
8,9,31,12,5563,2023-09-27
9,10,94,18,7544,2022-12-26
10,11,93,8,3570,2023-10-06
11,12,39,3,1148,2023-09-08
12,13,72,5,4334,2023-03-22
13,14,76,11,1336,2023-12-03
14,15,11,15,3738,2023-01-03
15,16,89,14,3213,2023-01-08
16,17,46,1,4242,2023-06-03
17,18,25,5,867,2023-04-09
18,19,86,15,4377,2023-06-09
19,20,22,8,3884,2022-10-02
20,21,61,15,2866,2024-08-21
21,22,44,3,7685,2022-06-15
22,23,48,6,1356,2024-06-09
23,24,83,1,4061,2023-04-19
24,25,35,16,8928,2024-10-15
25,26,67,19,1402,2023-01-23
26,27,70,2,4697,2023-08-24
27,28,8,6,6088,2023-10-10
28,29,69,9,1359,2022-06-19
29,30,67,10,286,2022-05-12
30,31,94,5,7099,2022-04-11
31,32,10,3,9993,2023-11-21
32,33,30,3,6020,2023-12-19
33,34,65,4,1121,2023-02-09
34,35,47,4,5285,2024-11-23
35,36,81,14,4679,2023-11-15
36,37,50,5,6277,2022-03-18
37,38,92,14,553,2023-05-27
38,39,32,6,3681,2023-04-21
39,40,88,7,5882,2022-05-05
40,41,84,5,5400,2022-01-03
41,42,41,1,9029,2024-08-05
42,43,60,5,8257,2022-03-20
43,44,70,4,9042,2024-03-27
44,45,60,17,1120,2022-02-05
45,46,28,17,8639,2024-08-11
46,47,42,11,4542,2023-12-26
47,48,42,14,7186,2022-08-05
48,49,93,14,9317,2024-08-17
49,50,93,14,2527,2023-11-20
50,51,43,5,9319,2024-08-02
51,52,52,4,7050,2024-09-08
52,53,80,2,5012,2022-07-06
53,54,30,7,6740,2024-08-03
54,55,57,4,1747,2024-02-14
55,56,29,2,575,2023-01-03
56,57,43,8,5274,2022-04-09
57,58,34,6,736,2023-01-04
58,59,30,5,6879,2023-05-17
59,60,43,7,6374,2022-01-23
60,61,5,8,3737,2023-10-06
61,62,9,4,416,2022-09-20
62,63,97,18,2035,2024-05-06
63,64,42,19,7260,2023-12-09
64,65,81,17,183,2023-04-25
65,66,75,2,765,2023-06-04
66,67,84,15,6008,2023-02-25
67,68,53,1,5641,2023-09-20
68,69,58,15,2588,2023-06-03
69,70,67,2,6856,2023-12-03
70,71,17,5,7290,2023-02-19
71,72,87,1,4480,2023-08-23
72,73,62,18,3943,2024-05-26
73,74,71,2,2087,2022-06-19
74,75,58,18,3175,2022-01-09
75,76,73,15,9576,2024-01-04
76,77,96,4,9953,2024-06-04
77,78,24,15,6227,2022-10-15
78,79,72,10,9546,2023-06-07
79,80,40,20,8178,2023-09-26
80,81,92,7,3270,2024-03-25
81,82,39,19,9070,2023-01-07
82,83,15,10,4407,2022-12-07
83,84,46,18,133,2024-11-08
84,85,64,19,9305,2023-06-16
85,86,69,3,4777,2024-03-06
86,87,47,14,6013,2024-09-13
87,88,90,19,9596,2023-07-16
88,89,9,20,3872,2023-11-25
89,90,85,12,6419,2023-06-23
90,91,97,12,1951,2022-09-13
91,92,53,11,4752,2024-12-04
92,93,60,18,331,2023-09-09
93,94,81,17,5646,2022-11-10
94,95,9,6,4651,2024-01-05
95,96,44,8,2014,2022-12-14
96,97,5,16,7103,2022-03-04
97,98,66,4,5635,2022-08-19
98,99,60,2,7303,2022-01-20
99,100,93,13,9957,2022-11-17
